"","X.1","X.1to1","X1to.1","X1","sample","shape","BetaSigma","model","segs"
"3362",0.864864864864865,0.135135135135135,0.0973451327433628,0.902654867256637,10484,1,500,"gaussian",18
"3363",0.919539846002069,0.0804601539979309,0.0448311029851604,0.95516889701484,10484,1,500,"sign",19
"3364",0.872,0.128,0.246376811594203,0.753623188405797,10484,1,500,"gaussian",19
"3365",0.943280235552478,0.0567197644475222,0.0800394744120319,0.919960525587968,10484,1,500,"sign",20
"3366",0.916666666666667,0.0833333333333333,0.5,0.5,10484,1,500,"gaussian",20
"3367",0.942717133476949,0.0572828665230506,0.0295181203517403,0.97048187964826,10484,1,500,"sign",21
"3368",0.869047619047619,0.130952380952381,0.221153846153846,0.778846153846154,10484,1,500,"gaussian",21
"3369",0.93862911201799,0.06137088798201,0.0349665768768251,0.965033423123175,10484,1,500,"sign",22
"3370",0.898550724637681,0.101449275362319,0.074468085106383,0.925531914893617,10484,1,500,"gaussian",22
"3371",0.946787725725772,0.0532122742742282,0.0728071542067553,0.927192845793245,10484,1,500,"sign",23
"3372",0.84,0.16,0.192307692307692,0.807692307692308,10484,1,500,"gaussian",23
"3373",0.874314287073661,0.125685712926339,0.0104782376766227,0.989521762323377,10484,1,500,"sign",24
"3374",0.846153846153846,0.153846153846154,0.021978021978022,0.978021978021978,10484,1,500,"gaussian",24
"3375",0.960197953180591,0.0398020468194089,0.0672140984868364,0.932785901513163,10484,1,500,"sign",25
"3376",0.884615384615385,0.115384615384615,0.0917874396135266,0.908212560386473,10484,1,500,"gaussian",25
"3377",0.843280211533145,0.156719788466855,0.0550552425652972,0.944944757434703,10484,1,500,"sign",26
"3378",0.846153846153846,0.153846153846154,0.0540540540540541,0.945945945945946,10484,1,500,"gaussian",26
"3379",0.94526909864151,0.05473090135849,0.148681229429901,0.851318770570099,10484,1,500,"sign",27
"3380",0.840909090909091,0.159090909090909,0.142857142857143,0.857142857142857,10484,1,500,"gaussian",27
"3381",0.893510247688238,0.106489752311762,0.0602852938644003,0.9397147061356,10484,1,500,"sign",28
"3382",0.6,0.4,0.2,0.8,10484,1,500,"gaussian",28
"3383",0.927269433249992,0.0727305667500077,0.0772984000082829,0.922701599991717,10484,1,500,"sign",29
"3384",0.928571428571429,0.0714285714285714,0.0769230769230769,0.923076923076923,10484,1,500,"gaussian",29
"3385",0.928516280153733,0.0714837198462667,0.0868740761868766,0.913125923813123,10484,1,500,"sign",30
"3386",0.868131868131868,0.131868131868132,0.16,0.84,10484,1,500,"gaussian",30
"3387",0.968775939224487,0.0312240607755128,0.0596257798776126,0.940374220122387,10484,1,500,"sign",31
"3388",0.810810810810811,0.189189189189189,0.129032258064516,0.870967741935484,10484,1,500,"gaussian",31
"3389",0.864524896479864,0.135475103520136,0.070292216826428,0.929707783173572,10484,1,500,"sign",32
"3390",0.897435897435897,0.102564102564103,0.16,0.84,10484,1,500,"gaussian",32
"3391",0.96888724426735,0.0311127557326496,0.090001115467703,0.909998884532297,10484,1,500,"sign",33
"3392",0.768421052631579,0.231578947368421,0.223300970873786,0.776699029126214,10484,1,500,"gaussian",33
"3393",0.859403825869292,0.140596174130708,0.130193540948892,0.869806459051108,10485,1,500,"sign",1
"3394",0.842105263157895,0.157894736842105,0.25,0.75,10485,1,500,"gaussian",1
"3395",0.946019885826444,0.0539801141735555,0.0486833525677469,0.951316647432253,10485,1,500,"sign",2
"3396",0.884057971014493,0.115942028985507,0.155172413793103,0.844827586206897,10485,1,500,"gaussian",2
"3397",0.927275547640484,0.0727244523595162,0.0732669961773742,0.926733003822626,10485,1,500,"sign",3
"3398",0.952380952380952,0.0476190476190476,0.0588235294117647,0.941176470588235,10485,1,500,"gaussian",3
"3399",0.990223300287138,0.00977669971286195,0.0382753859123746,0.961724614087625,10485,1,500,"sign",4
"3400",0.864406779661017,0.135593220338983,0.105263157894737,0.894736842105263,10485,1,500,"gaussian",4
"3401",0.942812393711521,0.0571876062884789,0.0824180198916489,0.917581980108351,10485,1,500,"sign",5
"3402",0.857142857142857,0.142857142857143,0.0980392156862745,0.901960784313726,10485,1,500,"gaussian",5
"3403",0.967445511291312,0.0325544887086876,0.0525791790890677,0.947420820910932,10485,1,500,"sign",6
"3404",0.904761904761905,0.0952380952380952,0.0777777777777778,0.922222222222222,10485,1,500,"gaussian",6
"3405",0.973662321890572,0.0263376781094278,0.200105728591632,0.799894271408368,10485,1,500,"sign",7
"3406",0.8125,0.1875,0.545454545454545,0.454545454545455,10485,1,500,"gaussian",7
"3407",0.958965696609148,0.041034303390852,0.0438462919055869,0.956153708094413,10485,1,500,"sign",8
"3408",0.933884297520661,0.0661157024793388,0.076271186440678,0.923728813559322,10485,1,500,"gaussian",8
"3409",0.927920561434017,0.0720794385659832,0.0198419811788216,0.980158018821178,10485,1,500,"sign",9
"3410",0.862068965517241,0.137931034482759,0.102564102564103,0.897435897435897,10485,1,500,"gaussian",9
"3411",0.928257165849015,0.0717428341509848,0.0455976628773264,0.954402337122674,10485,1,500,"sign",10
"3412",0.888888888888889,0.111111111111111,0.185185185185185,0.814814814814815,10485,1,500,"gaussian",10
"3413",0.873453356351248,0.126546643648752,0.0877044007206487,0.912295599279351,10485,1,500,"sign",11
"3414",0.788461538461538,0.211538461538462,0.105263157894737,0.894736842105263,10485,1,500,"gaussian",11
"3415",0.936691161184313,0.0633088388156868,0.0492127410690576,0.950787258930943,10485,1,500,"sign",12
"3416",0.913978494623656,0.0860215053763441,0.0967741935483871,0.903225806451613,10485,1,500,"gaussian",12
"3417",0.924777135081621,0.0752228649183788,0.0276662730720805,0.97233372692792,10485,1,500,"sign",13
"3418",0.869047619047619,0.130952380952381,0.180327868852459,0.819672131147541,10485,1,500,"gaussian",13
"3419",0.956467228619949,0.0435327713800513,0.0362013059716429,0.963798694028357,10485,1,500,"sign",14
"3420",0.866666666666667,0.133333333333333,0.166666666666667,0.833333333333333,10485,1,500,"gaussian",14
"3421",0.926147059823778,0.0738529401762216,0.0419648958761183,0.958035104123882,10485,1,500,"sign",15
"3422",0.814814814814815,0.185185185185185,0.178571428571429,0.821428571428571,10485,1,500,"gaussian",15
"3423",0.946442252805228,0.0535577471947716,0.0833378161065887,0.916662183893411,10485,1,500,"sign",16
"3424",0.862385321100917,0.137614678899083,0.195121951219512,0.804878048780488,10485,1,500,"gaussian",16
"3425",0.959960599088427,0.040039400911573,0.0598649684100019,0.940135031589998,10485,1,500,"sign",17
"3426",0.868852459016393,0.131147540983607,0.243243243243243,0.756756756756757,10485,1,500,"gaussian",17
"3427",0.958916878044046,0.0410831219559539,0.0137669729354674,0.986233027064533,10485,1,500,"sign",18
"3428",0.946428571428571,0.0535714285714286,0.0731707317073171,0.926829268292683,10485,1,500,"gaussian",18
"3429",0.91564083207104,0.0843591679289598,0.0440594841964769,0.955940515803523,10485,1,500,"sign",19
"3430",0.85,0.15,0.206896551724138,0.793103448275862,10485,1,500,"gaussian",19
"3431",0.912101773014691,0.0878982269853094,0.0572447624866719,0.942755237513328,10485,1,500,"sign",20
"3432",0.865671641791045,0.134328358208955,0.2,0.8,10485,1,500,"gaussian",20
"3433",0.944730492911449,0.0552695070885508,0.0609633480729452,0.939036651927055,10485,1,500,"sign",21
"3434",0.8,0.2,0.111111111111111,0.888888888888889,10485,1,500,"gaussian",21
"3435",0.966941044117315,0.0330589558826851,0.0526097456552629,0.947390254344737,10485,1,500,"sign",22
"3436",0.908163265306122,0.0918367346938776,0.1,0.9,10485,1,500,"gaussian",22
"3437",0.950336892662469,0.0496631073375314,0.0580255261983584,0.941974473801642,10485,1,500,"sign",23
"3438",0.942857142857143,0.0571428571428571,0.075,0.925,10485,1,500,"gaussian",23
"3439",0.919618552086971,0.0803814479130285,0.0603913333956953,0.939608666604305,10485,1,500,"sign",24
"3440",0.764705882352941,0.235294117647059,0.263157894736842,0.736842105263158,10485,1,500,"gaussian",24
"3441",0.779840718266852,0.220159281733148,0.172243638504941,0.827756361495058,10485,1,500,"sign",25
"3442",0.791666666666667,0.208333333333333,0.454545454545455,0.545454545454545,10485,1,500,"gaussian",25
"3443",0.923867005026366,0.076132994973634,0.255569913497429,0.744430086502571,10492,1,500,"sign",1
"3444",0.928571428571429,0.0714285714285714,0.25,0.75,10492,1,500,"gaussian",1
"3445",0.977666128384558,0.0223338716154421,0.0163446077273371,0.983655392272663,10492,1,500,"sign",2
"3446",0.956989247311828,0.043010752688172,0.384615384615385,0.615384615384615,10492,1,500,"gaussian",2
"3447",0.959218525369879,0.0407814746301208,0.0140998950670548,0.985900104932945,10492,1,500,"sign",4
"3448",0.891891891891892,0.108108108108108,0.0655737704918033,0.934426229508197,10492,1,500,"gaussian",4
"3449",0.767587690031653,0.232412309968347,0.23387629594314,0.766123704056859,10492,1,500,"sign",5
"3450",0.769230769230769,0.230769230769231,0.4,0.6,10492,1,500,"gaussian",5
"3451",0.953473608610858,0.0465263913891424,0.0378255375537214,0.962174462446279,10492,1,500,"sign",7
"3452",0.903225806451613,0.0967741935483871,0.0789473684210526,0.921052631578947,10492,1,500,"gaussian",7
"3453",0.978096526357654,0.0219034736423464,0.0657182018138706,0.934281798186129,10492,1,500,"sign",8
"3454",0.914893617021277,0.0851063829787234,0.15625,0.84375,10492,1,500,"gaussian",8
"3455",0.833340409213161,0.166659590786839,2.09857465256828e-10,0.999999999790142,10492,1,500,"sign",9
"3456",0.8,0.2,0.0833333333333333,0.916666666666667,10492,1,500,"gaussian",9
"3457",0.963685871685205,0.0363141283147952,0.0203576683342984,0.979642331665702,10492,1,500,"sign",10
"3458",0.962121212121212,0.0378787878787879,0.172413793103448,0.827586206896552,10492,1,500,"gaussian",10
"3459",0.931720402964624,0.0682795970353756,0.0574760042297571,0.942523995770243,10492,1,500,"sign",11
"3460",0.909774436090226,0.0902255639097744,0.121495327102804,0.878504672897196,10492,1,500,"gaussian",11
"3461",0.900483500661023,0.0995164993389766,0.0425888869962649,0.957411113003735,10492,1,500,"sign",12
"3462",0.933333333333333,0.0666666666666667,0.454545454545455,0.545454545454545,10492,1,500,"gaussian",12
"3463",0.86468421174643,0.13531578825357,6.38897035790984e-10,0.999999999361103,10492,1,500,"sign",13
"3464",0.833333333333333,0.166666666666667,0.111111111111111,0.888888888888889,10492,1,500,"gaussian",13
"3465",0.9054444326521,0.0945555673479005,0.118549794253293,0.881450205746707,10492,1,500,"sign",14
"3466",0.924731182795699,0.0752688172043011,0.285714285714286,0.714285714285714,10492,1,500,"gaussian",14
"3467",0.981799528230848,0.0182004717691521,0.0617083303094292,0.938291669690571,10492,1,500,"sign",15
"3468",0.815789473684211,0.184210526315789,0.228571428571429,0.771428571428571,10492,1,500,"gaussian",15
"3469",0.976519960022848,0.023480039977152,0.0605958747577616,0.939404125242238,10492,1,500,"sign",16
