"","sample","shape","area"
"1008","9738",8,1982.5
"1009","9738",9,1627
"1010","9740",1,103643
"1011","9740",2,1449
"1012","9740",3,1165
"1013","9741",1,95998.5
"1014","9741",2,69208
"1015","9741",3,3189
"1016","9741",4,2764.5
"1017","9741",5,1557
"1018","9741",6,1124.5
"1019","9741",7,830.5
"1020","9746",1,155235.5
"1021","9747",1,126093
"1022","9747",2,3033.5
"1023","9747",3,2778.5
"1024","9747",4,1201.5
"1025","9747",5,871.5
"1026","9747",6,825.5
"1027","9754",1,13160.5
"1028","9754",2,1868
"1029","9754",3,1617
"1030","9754",4,1174.5
"1031","9756",1,135564.5
"1032","9756",2,30436
"1033","9756",3,4301.5
"1034","9756",4,3370
"1035","9756",5,2003
"1036","9757",1,76758
"1037","9757",2,54205
"1038","9776",1,94354
"1039","9776",2,57735.5
"1040","9776",3,47063
"1041","9776",4,1245.5
"1042","9777",1,508266.5
"1043","9777",2,1915
"1044","9777",3,1577
"1045","9778",1,612083
"1046","9778",2,1249.5
"1047","9778",3,852.5
"1048","9778",4,831.5
"1049","9808",1,82973
"1050","9808",2,34927
"1051","9808",3,6729
"1052","9808",4,3455.5
"1053","9808",5,3291.5
"1054","9808",6,3107.5
"1055","9808",7,3112.5
"1056","9808",8,2001
"1057","9808",9,1695.5
"1058","9808",10,1517
"1059","9808",11,1402.5
"1060","9808",12,1170.5
"1061","9808",13,1213.5
"1062","9808",14,1028
"1063","9808",15,803
"1064","9808",16,845
"1065","9808",17,794
"1066","9808",18,800
"1067","9813",1,127105.5
"1068","9813",2,7387.5
"1069","9813",3,2554
"1070","9813",4,999.5
"1071","9946",1,250740.5
"1072","9946",2,152224.5
"1073","9946",3,1953.5
"1074","9947",1,149417.5
"1075","9947",2,10378.5
"1076","9947",3,2603
"1077","9947",4,1101
"1078","9965",1,52231
"1079","9965",2,11990
"1080","9965",3,3592
"1081","9965",4,1923.5
"1082","9965",5,1274.5
"1083","9965",6,1129
"1084","9965",7,1137.5
"1085","9966",1,51390
"1086","9966",2,4080
"1087","9966",3,3244.5
"1088","9966",4,2298.5
"1089","9966",5,1579
"1090","9966",6,1536
"1091","9966",7,1194.5
"1092","9966",8,1279.5
"1093","9966",9,929
"1094","9966",10,830.5
"1095","9966",11,815.5
"1096","9967",1,37588
"1097","9967",2,965
"1098","9967",3,870.5
"1099","9967",4,847
"1100","9972",1,14925
"1101","9972",2,5113
"1102","9972",3,1059.5
"1103","9980",1,14925
"1104","9980",2,5113
"1105","9980",3,1059.5
"1106","9988",1,87864
"1107","9988",2,48859.5
"1108","9988",3,2830
"1109","9988",4,944.5
"1110","9990",1,84046
"1111","9990",2,34235.5
"1112","9990",3,2322.5
"1113","9990",4,1893
"1114","9990",5,1704.5
"1115","9990",6,1397.5
"1116","9990",7,1282.5
"1117","9990",8,1135.5
"1118","9990",9,1025
"1119","9990",10,966
"1120","9990",11,913.5
"1121","9990",12,856.5
"1122","9990",13,866.5
"1123","9990",14,838
"1124","9991",1,194008.5
"1125","9991",2,118005.5
"1126","9991",3,96136.5
"1127","9993",1,153778
"1128","9993",2,846.5
